case,forecast_method,information_available_through_delivery_timestamp,commitment_protocol,delivery_timestamp,lead_hour,forecast_price,realized_price,error
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 06:00:00+00:00,7,45.123575331009235,45.86,-0.7364246689907645
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 07:00:00+00:00,8,46.292901259323,26.23,20.062901259323002
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 08:00:00+00:00,9,47.51176114007418,37.16,10.351761140074181
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 09:00:00+00:00,10,48.5048753956616,26.3,22.2048753956616
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 10:00:00+00:00,11,49.208575673386065,30.81,18.398575673386066
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 11:00:00+00:00,12,49.573187142443665,27.06,22.513187142443666
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 12:00:00+00:00,13,49.57556610440998,8.5,41.07556610440998
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 13:00:00+00:00,14,49.16661386848323,34.44,14.726613868483234
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 14:00:00+00:00,15,48.49612471625622,46.59,1.9061247162562154
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 15:00:00+00:00,16,47.86158728469731,47.15,0.711587284697309
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 16:00:00+00:00,17,47.431752275410474,50.29,-2.858247724589525
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 17:00:00+00:00,18,46.920562655369906,49.08,-2.159437344630092
